,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_leaf_size,param_n_neighbors,param_p,param_weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1234,0.0006320476531982422,0.0005169485296458754,0.003411722183227539,0.00281515276534166,11,19,2,uniform,"{'leaf_size': 11, 'n_neighbors': 19, 'p': 2, 'weights': 'uniform'}",0.6507936507936508,0.7063492063492064,0.6507936507936508,0.6587301587301587,0.6428571428571429,66.19047619047619,0.022782063641916393,3970
1235,0.0011072158813476562,0.0005177293783280845,0.002155780792236328,0.0012507684620145104,11,19,2,distance,"{'leaf_size': 11, 'n_neighbors': 19, 'p': 2, 'weights': 'distance'}",0.6587301587301587,0.7063492063492064,0.6666666666666666,0.7063492063492064,0.6746031746031746,68.25396825396825,0.020077953397894498,981
1236,0.00201873779296875,0.0030279644091175894,0.0038471221923828125,0.0027590010472747484,11,20,1,uniform,"{'leaf_size': 11, 'n_neighbors': 20, 'p': 1, 'weights': 'uniform'}",0.6507936507936508,0.6904761904761905,0.6587301587301587,0.6666666666666666,0.626984126984127,65.87301587301587,0.020695880651436974,4509
1237,0.0009810447692871094,0.0005822350486289612,0.002475070953369141,0.0014888757914723679,11,20,1,distance,"{'leaf_size': 11, 'n_neighbors': 20, 'p': 1, 'weights': 'distance'}",0.6428571428571429,0.6984126984126984,0.6587301587301587,0.6666666666666666,0.6349206349206349,66.03174603174602,0.02210855282092716,4362
1238,0.0006146907806396484,0.0005026100341319222,0.004195594787597656,0.003838927067528352,11,20,2,uniform,"{'leaf_size': 11, 'n_neighbors': 20, 'p': 2, 'weights': 'uniform'}",0.6507936507936508,0.7222222222222222,0.6666666666666666,0.6587301587301587,0.6349206349206349,66.66666666666666,0.029695693545824936,3039
1239,0.000530862808227539,0.00048266576449853676,0.00291290283203125,0.0033883241117196286,11,20,2,distance,"{'leaf_size': 11, 'n_neighbors': 20, 'p': 2, 'weights': 'distance'}",0.6428571428571429,0.7142857142857143,0.6587301587301587,0.6904761904761905,0.6666666666666666,67.46031746031747,0.025097441747368086,1520
1240,0.0008200645446777344,0.00075710195158441,0.005918169021606445,0.004019642343452986,11,21,1,uniform,"{'leaf_size': 11, 'n_neighbors': 21, 'p': 1, 'weights': 'uniform'}",0.6349206349206349,0.7142857142857143,0.6507936507936508,0.6666666666666666,0.6428571428571429,66.19047619047619,0.028216490213700287,3970
1241,0.0004383563995361328,0.0005481493493261634,0.0011477947235107421,0.0014116071941144748,11,21,1,distance,"{'leaf_size': 11, 'n_neighbors': 21, 'p': 1, 'weights': 'distance'}",0.6428571428571429,0.7222222222222222,0.6746031746031746,0.6904761904761905,0.6507936507936508,67.61904761904762,0.02857142857142855,1324
1242,0.0006113529205322265,0.000499851642183515,0.005875682830810547,0.004321795043583569,11,21,2,uniform,"{'leaf_size': 11, 'n_neighbors': 21, 'p': 2, 'weights': 'uniform'}",0.6587301587301587,0.7142857142857143,0.6587301587301587,0.6666666666666666,0.626984126984127,66.5079365079365,0.028127055788364056,3284
1243,0.0016082286834716796,0.0013826890629239565,0.0036107540130615235,0.002543731504135468,11,21,2,distance,"{'leaf_size': 11, 'n_neighbors': 21, 'p': 2, 'weights': 'distance'}",0.6666666666666666,0.7142857142857143,0.6507936507936508,0.6984126984126984,0.6428571428571429,67.46031746031747,0.027492869961410735,1520
1244,0.0007837772369384766,0.0003940615164553976,0.005449676513671875,0.0018255787330267914,11,22,1,uniform,"{'leaf_size': 11, 'n_neighbors': 22, 'p': 1, 'weights': 'uniform'}",0.6428571428571429,0.7063492063492064,0.6428571428571429,0.6507936507936508,0.6507936507936508,65.87301587301587,0.02407262045730651,4509
1245,0.0014079093933105468,0.0004798745547770232,0.002215719223022461,0.00041972147110429475,11,22,1,distance,"{'leaf_size': 11, 'n_neighbors': 22, 'p': 1, 'weights': 'distance'}",0.6428571428571429,0.7222222222222222,0.6666666666666666,0.6825396825396826,0.6428571428571429,67.14285714285715,0.029525516250378192,1814
1246,0.0005367279052734375,0.0004704845558125372,0.005217075347900391,0.0041163657743567535,11,22,2,uniform,"{'leaf_size': 11, 'n_neighbors': 22, 'p': 2, 'weights': 'uniform'}",0.6507936507936508,0.7222222222222222,0.6587301587301587,0.6428571428571429,0.6349206349206349,66.19047619047619,0.03118552810220396,3970
1247,0.0012154102325439454,0.00039327447505014694,0.0027573108673095703,0.0003822116491494019,11,22,2,distance,"{'leaf_size': 11, 'n_neighbors': 22, 'p': 2, 'weights': 'distance'}",0.6587301587301587,0.7142857142857143,0.6587301587301587,0.6587301587301587,0.6507936507936508,66.82539682539682,0.023220220378298087,2647
1248,0.0008382797241210938,0.00042019914713290407,0.004509973526000977,0.0024545665516868933,11,23,1,uniform,"{'leaf_size': 11, 'n_neighbors': 23, 'p': 1, 'weights': 'uniform'}",0.6428571428571429,0.7222222222222222,0.6428571428571429,0.6587301587301587,0.6428571428571429,66.19047619047619,0.03077891972962746,3970
1249,0.0010004520416259765,3.4890667209485466e-06,0.001997709274291992,4.185424405104979e-05,11,23,1,distance,"{'leaf_size': 11, 'n_neighbors': 23, 'p': 1, 'weights': 'distance'}",0.6349206349206349,0.7301587301587301,0.6587301587301587,0.6746031746031746,0.6428571428571429,66.82539682539684,0.03382107262327382,2451
1250,0.001215982437133789,0.00039430911034874926,0.004599714279174804,0.0004897093146020663,11,23,2,uniform,"{'leaf_size': 11, 'n_neighbors': 23, 'p': 2, 'weights': 'uniform'}",0.6587301587301587,0.7222222222222222,0.6507936507936508,0.6587301587301587,0.6349206349206349,66.5079365079365,0.029864901146391714,3284
1251,0.00019993782043457032,0.0003998756408691407,0.003595876693725586,0.006115525875963626,11,23,2,distance,"{'leaf_size': 11, 'n_neighbors': 23, 'p': 2, 'weights': 'distance'}",0.6587301587301587,0.7142857142857143,0.6349206349206349,0.6666666666666666,0.6428571428571429,66.34920634920634,0.02776643759450144,3529
1252,0.0009723663330078125,3.0677199150387246e-05,0.003416776657104492,0.0005337650698418724,11,24,1,uniform,"{'leaf_size': 11, 'n_neighbors': 24, 'p': 1, 'weights': 'uniform'}",0.626984126984127,0.7380952380952381,0.6507936507936508,0.6587301587301587,0.6349206349206349,66.19047619047619,0.039714273026021624,3970
