,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.06321330070495605,0.01479522725113749,0.008954191207885742,0.005454490869240019,2,sqrt,1,2,90,"{'max_depth': 2, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 90}",0.6111111111111112,0.6746031746031746,0.746031746031746,0.6587301587301587,0.6666666666666666,67.14285714285714,0.04335396915475448,696
1,0.07027163505554199,0.007042854054292721,0.0031239986419677734,0.006247997283935547,2,sqrt,1,2,100,"{'max_depth': 2, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.6111111111111112,0.6984126984126984,0.6904761904761905,0.7063492063492064,0.6666666666666666,67.46031746031747,0.03441187839472824,678
2,0.0789921760559082,0.004508746154803996,0.004126501083374023,0.006068716194556941,2,sqrt,1,2,115,"{'max_depth': 2, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 115}",0.5952380952380952,0.6984126984126984,0.7222222222222222,0.6428571428571429,0.6666666666666666,66.5079365079365,0.04416008807378905,716
3,0.0862053394317627,0.00864815932837449,0.009575843811035156,0.005590847614825651,2,sqrt,1,2,130,"{'max_depth': 2, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 130}",0.5952380952380952,0.7063492063492064,0.746031746031746,0.6587301587301587,0.6349206349206349,66.82539682539682,0.05297879132786871,705
4,0.06434025764465331,0.0036231099732368806,0.0,0.0,2,sqrt,1,3,90,"{'max_depth': 2, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 90}",0.6507936507936508,0.6825396825396826,0.7380952380952381,0.6904761904761905,0.6031746031746031,67.3015873015873,0.04472699302731866,686
5,0.06874761581420899,0.007681523195191429,0.006245946884155274,0.007649693182258043,2,sqrt,1,3,100,"{'max_depth': 2, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 100}",0.626984126984127,0.6666666666666666,0.6904761904761905,0.6666666666666666,0.6428571428571429,65.87301587301587,0.02187944246363526,747
6,0.0794745922088623,0.0026766193154305314,0.0031259536743164064,0.006251907348632813,2,sqrt,1,3,115,"{'max_depth': 2, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 115}",0.626984126984127,0.6904761904761905,0.746031746031746,0.6507936507936508,0.6349206349206349,66.98412698412697,0.04393127778761286,699
7,0.08417015075683594,0.006263298464349555,0.012496709823608398,0.006248355616620698,2,sqrt,1,3,130,"{'max_depth': 2, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 130}",0.626984126984127,0.6904761904761905,0.7142857142857143,0.6984126984126984,0.6507936507936508,67.61904761904762,0.03229680944345365,673
8,0.06009860038757324,0.006768035906813295,0.007117557525634766,0.008823944005434734,2,sqrt,1,4,90,"{'max_depth': 2, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 90}",0.6031746031746031,0.6825396825396826,0.7222222222222222,0.6587301587301587,0.6428571428571429,66.19047619047619,0.0397142730260216,731
9,0.07295866012573242,0.011982118226011751,0.0031253337860107423,0.0062506675720214845,2,sqrt,1,4,100,"{'max_depth': 2, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 100}",0.6111111111111112,0.6825396825396826,0.7301587301587301,0.6587301587301587,0.6349206349206349,66.34920634920634,0.040963453652583914,724
10,0.07510614395141602,0.006312326081578232,0.00937352180480957,0.007653448631635437,2,sqrt,1,4,115,"{'max_depth': 2, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 115}",0.6190476190476191,0.6825396825396826,0.7380952380952381,0.6587301587301587,0.6428571428571429,66.82539682539682,0.040592736039823565,705
11,0.07966985702514648,0.0031103380519188093,0.012499427795410157,0.006249714379759319,2,sqrt,1,4,130,"{'max_depth': 2, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 130}",0.5952380952380952,0.6984126984126984,0.7063492063492064,0.6666666666666666,0.6349206349206349,66.03174603174602,0.04120874598649896,741
12,0.06339840888977051,0.0018051626848734098,0.0,0.0,2,sqrt,2,2,90,"{'max_depth': 2, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 90}",0.6111111111111112,0.6904761904761905,0.6984126984126984,0.6587301587301587,0.6587301587301587,66.34920634920634,0.030778919729627457,724
13,0.06634020805358887,0.006048194633146123,0.00714263916015625,0.008862457054924965,2,sqrt,2,2,100,"{'max_depth': 2, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.6111111111111112,0.6904761904761905,0.746031746031746,0.6507936507936508,0.6349206349206349,66.66666666666666,0.04735375838151205,708
14,0.07827157974243164,0.00026525587509802203,0.006249189376831055,0.007653662642970765,2,sqrt,2,2,115,"{'max_depth': 2, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 115}",0.6349206349206349,0.6984126984126984,0.7063492063492064,0.6507936507936508,0.626984126984127,66.34920634920634,0.03276153561992111,724
