,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_degree,param_gamma,param_kernel,param_tol,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
136,0.006249332427978515,0.007653838495830368,0.0,0.0,1,2,auto,linear,0.001,"{'C': 1, 'degree': 2, 'gamma': 'auto', 'kernel': 'linear', 'tol': 0.001}",0.626984126984127,0.7142857142857143,0.6587301587301587,0.6587301587301587,0.6428571428571429,66.03174603174602,0.02944005871585938,165
137,0.006247520446777344,0.007651618840058122,0.0,0.0,1,2,auto,linear,0.01,"{'C': 1, 'degree': 2, 'gamma': 'auto', 'kernel': 'linear', 'tol': 0.01}",0.626984126984127,0.7222222222222222,0.6587301587301587,0.6587301587301587,0.6428571428571429,66.19047619047619,0.03237472707043037,151
138,0.009375762939453126,0.0076552816052804,0.003127765655517578,0.006255531311035156,1,2,auto,rbf,0.001,"{'C': 1, 'degree': 2, 'gamma': 'auto', 'kernel': 'rbf', 'tol': 0.001}",0.5634920634920635,0.6587301587301587,0.626984126984127,0.6190476190476191,0.6507936507936508,62.38095238095238,0.03352176520943314,223
139,0.009375858306884765,0.007655403818728737,0.0031200408935546874,0.006240081787109375,1,2,auto,rbf,0.01,"{'C': 1, 'degree': 2, 'gamma': 'auto', 'kernel': 'rbf', 'tol': 0.01}",0.5634920634920635,0.6507936507936508,0.6349206349206349,0.626984126984127,0.6507936507936508,62.53968253968254,0.03229680944345366,219
140,0.009371280670166016,0.007651618912861736,0.0,0.0,1,2,auto,sigmoid,0.001,"{'C': 1, 'degree': 2, 'gamma': 'auto', 'kernel': 'sigmoid', 'tol': 0.001}",0.5476190476190477,0.5952380952380952,0.6349206349206349,0.5873015873015873,0.5555555555555556,58.41269841269842,0.03118552810220394,265
141,0.006332111358642578,0.00775647781756307,0.006307220458984375,0.007725248200219123,1,2,auto,sigmoid,0.01,"{'C': 1, 'degree': 2, 'gamma': 'auto', 'kernel': 'sigmoid', 'tol': 0.01}",0.5476190476190477,0.6031746031746031,0.6349206349206349,0.5873015873015873,0.5555555555555556,58.57142857142858,0.0319043670511774,261
142,0.0031249523162841797,0.006249904632568359,0.003125762939453125,0.00625152587890625,1,2,auto,poly,0.001,"{'C': 1, 'degree': 2, 'gamma': 'auto', 'kernel': 'poly', 'tol': 0.001}",0.4603174603174603,0.5317460317460317,0.4603174603174603,0.5555555555555556,0.47619047619047616,49.682539682539684,0.03939578935235195,281
143,0.010422134399414062,0.00871209257499661,0.0,0.0,1,2,auto,poly,0.01,"{'C': 1, 'degree': 2, 'gamma': 'auto', 'kernel': 'poly', 'tol': 0.01}",0.4603174603174603,0.5317460317460317,0.4603174603174603,0.5555555555555556,0.47619047619047616,49.682539682539684,0.03939578935235195,281
144,0.003123950958251953,0.006247901916503906,0.0,0.0,1,3,scale,linear,0.001,"{'C': 1, 'degree': 3, 'gamma': 'scale', 'kernel': 'linear', 'tol': 0.001}",0.626984126984127,0.7142857142857143,0.6587301587301587,0.6587301587301587,0.6428571428571429,66.03174603174602,0.02944005871585938,165
145,0.006247568130493164,0.007651677160582391,0.0,0.0,1,3,scale,linear,0.01,"{'C': 1, 'degree': 3, 'gamma': 'scale', 'kernel': 'linear', 'tol': 0.01}",0.626984126984127,0.7222222222222222,0.6587301587301587,0.6587301587301587,0.6428571428571429,66.19047619047619,0.03237472707043037,151
146,0.006246042251586914,0.007649808214497781,0.006237602233886719,0.00763951040065767,1,3,scale,rbf,0.001,"{'C': 1, 'degree': 3, 'gamma': 'scale', 'kernel': 'rbf', 'tol': 0.001}",0.7142857142857143,0.746031746031746,0.6746031746031746,0.7380952380952381,0.6825396825396826,71.11111111111113,0.028659476325821883,87
147,0.006264019012451172,0.007671856747375514,0.003125619888305664,0.006251239776611328,1,3,scale,rbf,0.01,"{'C': 1, 'degree': 3, 'gamma': 'scale', 'kernel': 'rbf', 'tol': 0.01}",0.7142857142857143,0.753968253968254,0.6746031746031746,0.7380952380952381,0.6825396825396826,71.26984126984128,0.030696951755259858,83
148,0.015624094009399413,4.432467498300865e-05,0.0,0.0,1,3,scale,sigmoid,0.001,"{'C': 1, 'degree': 3, 'gamma': 'scale', 'kernel': 'sigmoid', 'tol': 0.001}",0.3253968253968254,0.23809523809523808,0.3333333333333333,0.2619047619047619,0.3333333333333333,29.841269841269835,0.040343698498853435,353
149,0.00937047004699707,0.007650958813548318,0.006249570846557617,0.00765412984606176,1,3,scale,sigmoid,0.01,"{'C': 1, 'degree': 3, 'gamma': 'scale', 'kernel': 'sigmoid', 'tol': 0.01}",0.3253968253968254,0.23809523809523808,0.3333333333333333,0.25396825396825395,0.3333333333333333,29.682539682539677,0.041875891931025144,365
150,0.009374523162841797,0.007654267039079493,0.0,0.0,1,3,scale,poly,0.001,"{'C': 1, 'degree': 3, 'gamma': 'scale', 'kernel': 'poly', 'tol': 0.001}",0.7698412698412699,0.7698412698412699,0.7380952380952381,0.7936507936507936,0.7063492063492064,75.55555555555556,0.030283784171966508,29
151,0.006249332427978515,0.007653838091813211,0.0,0.0,1,3,scale,poly,0.01,"{'C': 1, 'degree': 3, 'gamma': 'scale', 'kernel': 'poly', 'tol': 0.01}",0.7698412698412699,0.7698412698412699,0.7380952380952381,0.7936507936507936,0.7063492063492064,75.55555555555556,0.030283784171966508,29
152,0.006249856948852539,0.007654480477105825,0.0,0.0,1,3,auto,linear,0.001,"{'C': 1, 'degree': 3, 'gamma': 'auto', 'kernel': 'linear', 'tol': 0.001}",0.626984126984127,0.7142857142857143,0.6587301587301587,0.6587301587301587,0.6428571428571429,66.03174603174602,0.02944005871585938,165
153,0.0031392574310302734,0.006278514862060547,0.0031098365783691407,0.006219673156738281,1,3,auto,linear,0.01,"{'C': 1, 'degree': 3, 'gamma': 'auto', 'kernel': 'linear', 'tol': 0.01}",0.626984126984127,0.7222222222222222,0.6587301587301587,0.6587301587301587,0.6428571428571429,66.19047619047619,0.03237472707043037,151
154,0.006247949600219726,0.007652144853941767,0.006250619888305664,0.0076554146605022,1,3,auto,rbf,0.001,"{'C': 1, 'degree': 3, 'gamma': 'auto', 'kernel': 'rbf', 'tol': 0.001}",0.5634920634920635,0.6587301587301587,0.626984126984127,0.6190476190476191,0.6507936507936508,62.38095238095238,0.03352176520943314,223
